"","name","houses"
"1","Can Baró",20
"2","Canyelles",1
"3","Diagonal Mar I El Front Marítim Del Poblenou",140
"4","El Baix Guinardó",106
"5","El Barri Gòtic",181
"6","El Besòs I El Maresme",32
"7","El Bon Pastor",1
"8","El Camp De L'arpa Del Clot",271
"9","El Camp D'en Grassot I Gràcia Nova",229
"10","El Carmel",33
"11","El Clot",51
"12","El Coll",20
"13","El Congrés I Els Indians",6
"14","El Fort Pienc",330
"15","El Guinardó",70
"16","El Parc I La Llacuna Del Poblenou",104
"17","El Poblenou",399
"18","El Poble Sec",542
"19","El Putxet I El Farró",155
"20","El Raval",180
"21","Horta",6
"22","Hostafrancs",179
"23","La Barceloneta",72
"24","La Bordeta",44
"25","La Dreta De L'eixample",1664
"26","La Font De La Guatlla",73
"27","La Font D'en Fargues",4
"28","La Guineueta",1
"29","La Marina Del Prat Vermell",3
"30","La Marina De Port",8
"31","La Maternitat I Sant Ramon",46
"32","La Nova Esquerra De L'eixample",416
"33","L'antiga Esquerra De L'eixample",709
"34","La Prosperitat",4
"35","La Sagrada Família",773
"36","La Sagrera",22
"37","La Salut",38
"38","La Teixonera",9
"39","La Trinitat Vella",5
"40","La Vall D'hebron",1
"41","La Verneda I La Pau",9
"42","La Vila De Gràcia",741
"43","La Vila Olímpica Del Poblenou",112
"44","Les Corts",216
"45","Les Roquetes",3
"46","Les Tres Torres",36
"47","Navas",17
"48","Pedralbes",10
"49","Porta",2
"50","Provençals Del Poblenou",41
"51","Sant Andreu",31
"52","Sant Antoni",585
"53","Sant Genís Dels Agudells",4
"54","Sant Gervasi - Galvany",272
"55","Sant Gervasi - La Bonanova",34
"56","Sant Martí De Provençals",15
"57","Sant Pere, Santa Caterina I La Ribera",172
"58","Sants",251
"59","Sants - Badal",107
"60","Sarrià",31
"61","Vallcarca I Els Penitents",40
"62","Vallvidrera, El Tibidabo I Les Planes",3
"63","Verdun",3
"64","Vilapicina I La Torre Llobeta",9
